City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sambava,MG,-14.2667,50.1667,77.29,85,32,7.9,moderate rain
1,Hobart,AU,-42.8794,147.3294,57.06,71,92,9.22,overcast clouds
2,Chara,RU,56.9064,118.2631,-19.5,96,100,0.78,overcast clouds
3,Gamba,GA,-2.65,10.0,82.04,75,50,10.6,scattered clouds
4,Iqaluit,CA,63.7506,-68.5145,-24.07,62,20,2.3,few clouds
5,Preeceville,CA,51.95,-102.6677,-6.45,96,92,7.52,overcast clouds
6,Obo,CF,5.3998,26.4869,92.88,18,87,6.06,overcast clouds
7,Nueva Loja,EC,0.0847,-76.8828,80.08,78,0,2.3,moderate rain
8,Leh,IN,34.1667,77.5833,2.07,64,100,2.04,overcast clouds
9,Rafaela,AR,-31.2503,-61.4867,71.01,54,82,14.52,broken clouds
10,Tumbes,PE,-3.5667,-80.4414,80.55,57,100,5.75,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,78.93,71,48,15.88,light rain
12,Cape Town,ZA,-33.9258,18.4232,76.12,66,0,13.8,clear sky
13,Ushuaia,AR,-54.8,-68.3,49.62,61,75,40.29,light intensity drizzle
14,Kodiak,US,57.79,-152.4072,38.71,65,40,14.97,scattered clouds
15,Bontang,ID,0.1333,117.5,77.04,91,100,7.99,overcast clouds
16,Hilo,US,19.7297,-155.09,67.73,85,100,0.0,overcast clouds
17,Manggar,ID,-2.8833,108.2667,79.05,86,98,7.09,overcast clouds
18,Busselton,AU,-33.65,115.3333,58.08,68,0,14.65,clear sky
19,Bambous Virieux,MU,-20.3428,57.7575,80.85,74,20,3.44,few clouds
20,Touros,BR,-5.1989,-35.4608,86.9,61,38,10.8,scattered clouds
21,Trairi,BR,-3.2778,-39.2689,84.0,66,91,8.57,overcast clouds
22,Esperance,AU,-33.8667,121.9,66.04,71,99,14.54,overcast clouds
23,Ventersburg,ZA,-28.0856,27.1381,83.05,30,92,2.93,overcast clouds
24,Georgetown,MY,5.4112,100.3354,82.89,83,20,2.3,few clouds
25,Lakatoro,VU,-16.0999,167.4164,79.57,84,100,0.34,overcast clouds
26,Barrow,US,71.2906,-156.7887,-30.98,100,0,8.05,clear sky
27,Ribeira Grande,PT,38.5167,-28.7,63.0,82,40,20.71,scattered clouds
28,Okhotsk,RU,59.3833,143.3,-13.86,83,10,8.79,clear sky
29,Kapaa,US,22.0752,-159.319,67.98,94,40,3.44,scattered clouds
30,Port Alfred,ZA,-33.5906,26.891,79.2,83,8,18.43,clear sky
31,Talnakh,RU,69.4865,88.3972,-9.0,79,44,9.98,scattered clouds
32,Cherskiy,RU,68.75,161.3,-24.21,98,100,8.68,overcast clouds
33,Yellowknife,CA,62.456,-114.3525,-27.58,88,0,5.75,clear sky
34,Provideniya,RU,64.3833,-173.3,-12.15,83,2,6.17,clear sky
35,Kizukuri,JP,40.8061,140.3861,35.11,51,80,8.77,broken clouds
36,Skjervoy,NO,70.0311,20.9714,30.29,65,100,18.01,light snow
37,Mahebourg,MU,-20.4081,57.7,80.89,74,20,3.44,few clouds
38,Gornopravdinsk,RU,60.05,69.9,3.13,92,85,9.48,overcast clouds
39,Tazovskiy,RU,67.4667,78.7,-7.89,91,6,11.81,clear sky
40,Naifaru,MV,5.4444,73.3657,81.54,73,100,13.02,overcast clouds
41,Wendo,ET,6.6,38.4167,67.93,36,49,3.33,scattered clouds
42,Fairbanks,US,64.8378,-147.7164,-3.91,81,100,4.61,overcast clouds
43,Port Elizabeth,ZA,-33.918,25.5701,79.09,78,0,21.85,clear sky
44,Mount Isa,AU,-20.7333,139.5,74.97,78,40,10.36,scattered clouds
45,Udayagiri,IN,20.1333,84.3833,57.61,26,32,3.51,scattered clouds
46,Vaini,TO,-21.2,-175.2,78.96,94,20,4.61,few clouds
47,Khatanga,RU,71.9667,102.5,-13.27,86,94,7.96,overcast clouds
48,Severo-Kurilsk,RU,50.6789,156.125,18.63,79,77,3.31,broken clouds
49,Punta Arenas,CL,-53.15,-70.9167,57.31,47,40,36.82,scattered clouds
50,Klaksvik,FO,62.2266,-6.589,41.92,83,100,11.95,overcast clouds
51,Saint-Philippe,RE,-21.3585,55.7679,80.19,77,18,6.87,few clouds
52,Bluff,NZ,-46.6,168.3333,51.8,65,75,14.34,broken clouds
53,Saint Anthony,US,45.0205,-93.218,-1.21,70,0,6.91,clear sky
54,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1.99,66,0,4.47,clear sky
55,Belyy Yar,RU,53.6039,91.3903,-20.31,56,25,0.0,smoke
56,Santa Rita,BR,-7.1139,-34.9781,88.47,62,75,11.5,broken clouds
57,Mount Gambier,AU,-37.8333,140.7667,60.71,82,75,4.61,broken clouds
58,Longyearbyen,SJ,78.2186,15.6401,12.04,73,0,14.97,clear sky
59,Kaitangata,NZ,-46.2817,169.8464,51.93,72,100,9.4,overcast clouds
60,Jamestown,US,42.097,-79.2353,29.3,51,100,12.66,overcast clouds
61,Souillac,MU,-20.5167,57.5167,80.98,74,20,3.44,few clouds
62,Atuona,PF,-9.8,-139.0333,77.16,79,10,13.69,light rain
63,Hambantota,LK,6.1241,81.1185,77.34,100,40,3.44,scattered clouds
64,Tirumullaivasal,IN,11.2333,79.8333,79.0,69,98,15.66,overcast clouds
65,Tsiroanomandidy,MG,-18.7667,46.0333,74.1,79,88,2.59,light rain
66,Thompson,CA,55.7435,-97.8558,-21.84,76,0,3.44,clear sky
67,Leningradskiy,RU,69.3833,178.4167,-21.87,98,98,4.29,overcast clouds
68,Mataura,NZ,-46.1927,168.8643,51.48,91,100,3.15,overcast clouds
69,Port Hardy,CA,50.6996,-127.4199,37.76,100,100,5.75,mist
70,Upernavik,GL,72.7868,-56.1549,-4.83,98,100,13.89,overcast clouds
71,Pitea,SE,65.3172,21.4794,17.1,99,25,1.63,scattered clouds
72,Fortuna,US,40.5982,-124.1573,47.32,76,0,10.36,clear sky
73,Katsuura,JP,35.1333,140.3,42.91,56,100,3.22,overcast clouds
74,Myaundzha,RU,63.0494,147.1858,-36.74,99,34,2.91,scattered clouds
75,Nikolskoye,RU,59.7035,30.7861,34.88,95,100,12.3,light snow
76,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,68,96,11.32,overcast clouds
77,Ulaanbaatar,MN,47.9077,106.8832,-21.87,76,0,4.47,clear sky
78,Amurzet,RU,47.6967,131.0981,4.24,88,95,8.25,overcast clouds
79,Boa Vista,BR,2.8197,-60.6733,87.78,45,75,14.97,broken clouds
80,Ilulissat,GL,69.2167,-51.1,33.82,47,75,11.5,broken clouds
81,Hermanus,ZA,-34.4187,19.2345,75.9,81,96,6.87,overcast clouds
82,Dikson,RU,73.5069,80.5464,0.32,75,100,28.16,overcast clouds
83,Bengkulu,ID,-3.8004,102.2655,77.18,86,100,4.79,overcast clouds
84,Lebu,CL,-37.6167,-73.65,69.71,53,5,12.46,clear sky
85,Marivan,IR,35.5219,46.176,27.46,82,32,8.5,scattered clouds
86,Chiang Klang,TH,19.2938,100.8617,70.88,51,70,1.45,broken clouds
87,Kruisfontein,ZA,-34.0033,24.7314,75.79,78,33,14.7,scattered clouds
88,Hasaki,JP,35.7333,140.8333,30.6,58,34,6.78,scattered clouds
89,Albany,US,42.6001,-73.9662,48.31,64,99,3.0,overcast clouds
90,Taunggyi,MM,20.7833,97.0333,49.39,47,5,1.36,clear sky
91,Avarua,CK,-21.2078,-159.775,71.65,100,92,1.14,overcast clouds
92,Colquechaca,BO,-18.6667,-66.0167,41.94,63,98,5.59,overcast clouds
93,Dingle,PH,10.9995,122.6711,75.04,91,91,8.68,overcast clouds
94,Sangar,RU,63.9242,127.4739,-22.61,99,100,2.46,overcast clouds
95,Bend,US,44.0582,-121.3153,28.36,84,0,3.44,clear sky
96,Constitucion,CL,-35.3333,-72.4167,73.0,48,1,7.31,clear sky
97,Uddevalla,SE,58.3478,11.9424,40.06,84,100,10.0,light rain
98,Chiredzi,ZW,-21.05,31.6667,86.2,30,7,8.23,clear sky
99,Namatanai,PG,-3.6667,152.4333,78.15,82,100,4.54,moderate rain
100,Butaritari,KI,3.0707,172.7902,81.86,77,46,17.2,scattered clouds
101,Sur,OM,22.5667,59.5289,71.28,59,1,7.85,clear sky
102,Amapa,BR,1.0,-52.0,82.6,73,97,4.97,overcast clouds
103,Nome,US,64.5011,-165.4064,1.47,55,100,4.61,overcast clouds
104,Sao Filipe,CV,14.8961,-24.4956,80.46,43,89,18.45,overcast clouds
105,Acapulco,MX,16.8634,-99.8901,78.62,69,100,0.0,overcast clouds
106,Bethel,US,41.3712,-73.414,56.84,53,20,8.05,few clouds
107,Xiongzhou,CN,25.1167,114.3,51.89,91,100,4.07,light rain
108,Sioux Lookout,CA,50.1001,-91.917,-23.42,75,75,4.61,broken clouds
109,Palana,RU,59.1167,159.9667,-11.9,96,34,4.03,scattered clouds
110,Taltal,CL,-25.4,-70.4833,71.6,69,3,7.25,clear sky
111,Lata,PT,40.1629,-8.3327,61.07,67,100,5.91,overcast clouds
112,Aguimes,ES,27.9054,-15.4461,69.66,60,20,27.63,few clouds
113,Carnarvon,AU,-24.8667,113.6333,82.47,69,7,12.66,clear sky
114,Hofn,IS,64.2539,-15.2082,27.09,68,94,20.29,overcast clouds
115,Saskylakh,RU,71.9167,114.0833,0.66,77,34,13.49,scattered clouds
116,Lorengau,PG,-2.0226,147.2712,80.71,75,94,3.58,overcast clouds
117,Mahibadhoo,MV,3.7833,72.9667,81.07,73,86,4.85,overcast clouds
118,Cehegin,ES,38.0924,-1.7985,58.71,39,8,8.32,clear sky
119,Saldanha,ZA,-33.0117,17.9442,71.65,90,100,17.36,overcast clouds
120,Christchurch,NZ,-43.5333,172.6333,52.0,91,100,17.27,moderate rain
121,Pangnirtung,CA,66.1451,-65.7125,-2.2,84,100,9.22,light snow
122,Clemson,US,34.6834,-82.8374,63.27,53,0,3.44,clear sky
123,Ahipara,NZ,-35.1667,173.1667,68.61,86,96,28.86,overcast clouds
124,Ahuimanu,US,21.4447,-157.8378,71.85,84,20,6.91,few clouds
125,Mahajanga,MG,-15.7167,46.3167,84.22,74,20,13.8,few clouds
126,Oparino,RU,59.8518,48.2783,22.5,94,100,7.47,overcast clouds
127,Takoradi,GH,4.8845,-1.7554,84.4,67,93,12.08,overcast clouds
128,Paamiut,GL,61.994,-49.6678,21.76,95,100,12.19,snow
129,Launceston,AU,-41.45,147.1667,53.24,76,62,0.0,broken clouds
130,Alto Araguaia,BR,-17.3147,-53.2153,83.66,63,16,2.53,few clouds
131,Opportunity,US,47.6499,-117.2399,27.34,88,0,0.0,clear sky
132,Tuatapere,NZ,-46.1333,167.6833,51.82,75,96,9.66,overcast clouds
133,Madison,US,34.7334,-86.5667,54.77,68,75,13.0,broken clouds
134,Broome,US,42.2506,-75.833,45.18,65,20,19.57,few clouds
135,Nagornyy,RU,52.7959,83.5498,4.35,100,40,3.91,scattered clouds
136,Sitka,US,57.0531,-135.33,42.69,81,100,10.36,moderate rain
137,Castro,BR,-24.7911,-50.0119,78.24,47,0,3.98,clear sky
138,Deputatskiy,RU,69.3,139.9,-12.26,92,100,6.22,overcast clouds
139,Nyurba,RU,63.2842,118.3319,-22.09,100,100,2.84,overcast clouds
140,Arawa,PG,-6.2132,155.5367,75.88,82,91,2.44,overcast clouds
141,Flinders,AU,-34.5833,150.8552,67.8,92,96,4.0,overcast clouds
142,Olinda,BR,-8.0089,-34.8553,87.53,66,40,10.36,scattered clouds
143,Maykor,RU,59.0059,55.88,19.36,97,99,4.45,overcast clouds
144,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,0,8.05,clear sky
145,Tateyama,JP,34.9833,139.8667,42.82,56,99,2.33,overcast clouds
146,Port Lincoln,AU,-34.7333,135.8667,68.4,69,100,9.55,overcast clouds
147,Richards Bay,ZA,-28.783,32.0377,79.81,70,0,12.82,clear sky
148,Kemijarvi,FI,66.7131,27.4306,-2.36,100,15,2.66,few clouds
149,Cidreira,BR,-30.1811,-50.2056,79.41,68,1,15.61,clear sky
150,Lerwick,GB,60.1545,-1.1494,46.4,89,100,21.59,overcast clouds
151,Kankon,IN,15.0167,74.0167,80.4,70,6,6.35,clear sky
152,Margate,GB,51.3813,1.3862,46.9,63,99,8.99,overcast clouds
153,Homer,US,59.6425,-151.5483,34.03,90,100,4.0,overcast clouds
154,Pisco,PE,-13.7,-76.2167,72.01,73,0,5.75,clear sky
155,Bredasdorp,ZA,-34.5322,20.0403,74.52,64,47,11.5,scattered clouds
156,New Norfolk,AU,-42.7826,147.0587,56.7,57,92,2.64,overcast clouds
157,Yarovoye,RU,52.9273,78.58,10.38,90,97,12.37,overcast clouds
158,Salinopolis,BR,-0.6136,-47.3561,83.48,72,84,8.75,broken clouds
159,Mnogovershinnyy,RU,53.9353,139.9242,7.34,97,100,3.49,overcast clouds
160,Ghugus,IN,19.9333,79.1333,68.83,21,58,2.86,broken clouds
161,Tasiilaq,GL,65.6145,-37.6368,15.96,64,100,2.93,overcast clouds
162,Likasi,CD,-10.9814,26.7333,68.05,92,92,2.51,light rain
163,Port-Cartier,CA,50.0334,-66.8654,32.11,98,98,4.7,overcast clouds
164,Kavaratti,IN,10.5669,72.642,80.89,70,2,6.38,clear sky
165,Norman Wells,CA,65.282,-126.8329,-14.76,70,40,6.91,scattered clouds
166,Skibotn,NO,69.3913,20.2679,21.47,94,27,7.18,scattered clouds
167,Pevek,RU,69.7008,170.3133,-25.64,98,100,8.61,overcast clouds
168,Dryden,CA,49.7833,-92.7503,-23.51,76,40,6.91,scattered clouds
169,Chuy,UY,-33.6971,-53.4616,75.99,77,100,6.6,overcast clouds
170,Kichera,RU,55.9375,110.0997,-17.82,85,9,5.35,clear sky
171,Anju,KP,39.6178,125.6647,31.71,39,100,2.8,overcast clouds
172,Aquidauana,BR,-20.4711,-55.7872,96.89,34,13,6.31,few clouds
173,Clyde River,CA,70.4692,-68.5914,-16.37,69,100,24.16,light snow
174,Kaeo,NZ,-35.1,173.7833,71.33,86,99,26.33,overcast clouds
175,Te Anau,NZ,-45.4167,167.7167,45.72,82,82,3.27,broken clouds
176,Cabo San Lucas,MX,22.8909,-109.9124,69.51,48,40,6.91,scattered clouds
177,Imbituba,BR,-28.24,-48.6703,84.09,60,0,14.29,clear sky
178,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,74,75,5.75,broken clouds
179,Geraldton,AU,-28.7667,114.6,72.01,78,5,17.27,clear sky
180,Mawlaik,MM,23.6333,94.4167,57.69,48,0,1.59,clear sky
181,Ponta Do Sol,PT,32.6667,-17.1,67.12,57,14,2.66,few clouds
182,Malkangiri,IN,18.35,81.9,68.02,35,37,2.13,scattered clouds
183,Tromso,NO,69.6496,18.957,21.38,79,40,11.5,scattered clouds
184,Cap Malheureux,MU,-19.9842,57.6142,81.09,73,74,1.99,broken clouds
185,North Atlanta,US,33.8651,-84.3366,60.69,67,0,10.36,clear sky
186,Qaanaaq,GL,77.484,-69.3632,-20.99,48,0,8.84,clear sky
187,Tautira,PF,-17.7333,-149.15,75.22,76,98,12.3,overcast clouds
188,Ayan,RU,56.45,138.1667,-5.35,81,57,6.49,broken clouds
189,Victoria,HK,22.2855,114.1577,68.18,84,82,5.01,broken clouds
190,Alofi,NU,-19.0595,-169.9187,75.09,88,14,1.14,few clouds
191,Soyo,AO,-6.1349,12.3689,86.05,71,69,11.97,broken clouds
192,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,91,3.0,overcast clouds
193,Aripuana,BR,-9.1667,-60.6333,77.7,82,100,0.94,overcast clouds
194,Teknaf,BD,20.8624,92.3058,64.15,59,63,12.37,broken clouds
195,Thio,NC,-21.6167,166.2167,75.16,85,87,3.47,overcast clouds
196,Nouadhibou,MR,20.931,-17.0347,82.38,21,95,11.5,overcast clouds
197,Shakawe,BW,-18.3667,21.85,80.11,55,76,5.93,broken clouds
198,Ponta Delgada,PT,37.7333,-25.6667,61.52,67,75,12.66,broken clouds
199,Isangel,VU,-19.55,169.2667,79.38,89,82,4.34,broken clouds
200,Meulaboh,ID,4.1363,96.1285,78.26,84,74,2.98,broken clouds
201,Faridpur,BD,23.6,89.8333,68.0,50,2,6.69,clear sky
202,Chillicothe,US,39.3331,-82.9824,34.52,76,100,8.05,overcast clouds
203,Tecate,MX,32.5667,-116.6333,70.2,27,0,12.33,clear sky
204,Nhulunbuy,AU,-12.2333,136.7667,79.41,83,0,2.3,clear sky
205,Waingapu,ID,-9.6567,120.2641,77.11,87,99,3.89,overcast clouds
206,Port Macquarie,AU,-31.4333,152.9167,62.89,72,82,9.28,broken clouds
207,Wittlich,DE,49.9833,6.8833,44.06,38,0,5.75,clear sky
208,Kupino,RU,54.3663,77.2981,-0.11,92,8,10.8,clear sky
209,Owosso,US,42.9978,-84.1766,18.32,73,75,10.36,broken clouds
210,Kenai,US,60.5544,-151.2583,26.15,97,100,0.0,light snow
211,Mattoon,US,39.4831,-88.3728,21.51,73,100,18.41,overcast clouds
212,Coahuayana,MX,18.7333,-103.6833,72.88,33,64,5.28,broken clouds
213,Seydi,TM,39.4816,62.9137,42.39,43,0,7.29,clear sky
214,Suez,EG,29.9737,32.5263,63.16,37,0,9.8,clear sky
215,Sinnamary,GF,5.3833,-52.95,79.86,83,81,11.99,broken clouds
216,Northam,GB,51.0333,-4.2167,48.02,91,100,20.47,overcast clouds
217,Burgos,ES,42.3394,-3.7079,54.01,62,20,5.75,few clouds
218,Ancud,CL,-41.8697,-73.8203,75.22,61,71,6.2,broken clouds
219,Airai,TL,-8.9266,125.4092,59.67,94,83,2.44,broken clouds
220,Faanui,PF,-16.4833,-151.75,79.61,77,75,13.94,light rain
221,Joaquim Nabuco,BR,-8.6244,-35.5333,94.33,35,38,11.32,scattered clouds
222,Maldonado,UY,-34.6667,-54.9167,67.39,93,100,14.43,overcast clouds
223,Leo,BF,11.1,-2.1,96.62,6,32,3.24,scattered clouds
224,Husavik,IS,66.0449,-17.3389,21.11,81,61,6.22,broken clouds
225,Pak Phanang,TH,8.3511,100.202,83.07,76,96,5.5,overcast clouds
226,Abomsa,ET,9.9833,39.9833,75.38,37,0,7.72,clear sky
227,Vanderhoof,CA,54.0166,-124.0198,27.82,96,100,0.94,overcast clouds
228,Nelson Bay,AU,-32.7167,152.15,72.0,69,65,4.0,broken clouds
229,Taga,RO,46.95,24.05,41.49,90,6,3.04,clear sky
230,Asau,RO,46.4333,26.4,37.76,63,100,4.25,overcast clouds
231,Nemuro,JP,43.3236,145.575,21.88,79,52,4.83,broken clouds
232,Sobolevo,RU,54.4299,31.8996,21.79,91,8,10.6,clear sky
233,Moussoro,TD,13.6408,16.4901,88.38,8,89,10.89,overcast clouds
